rank,subscribers,video views,subscribers_for_last_30_days,video_views_for_the_last_30_days,category,Country,lowest_monthly_earnings,highest_monthly_earnings
626,15600000,7172386509,100000,88224000,Science & Technology,Canada,22100,352900
752,14500000,3517662420,,5329000,Comedy,Canada,1300,21300
815,13800000,1820559912,100000,83943000,Science & Technology,Canada,21000,335800
840,13500000,4301581610,,32557000,Gaming,Canada,8100,130200
874,13300000,6412313570,100000,5387000,Gaming,Canada,1300,21500
927,12800000,6970899521,,18118000,Entertainment,Canada,4500,72500
979,12400000,4021409291,,9595000,Entertainment,Canada,2400,38400
24,66500000,36775585925,,447223000,Music,Brazil,0,0
55,45200000,16602198273,200000,130359000,Entertainment,Brazil,32600,521400
56,44700000,7828610828,100000,48032000,Entertainment,Brazil,12000,192100
60,44200000,4274709210,,26683000,Comedy,Brazil,6700,106700
84,38900000,25154232306,100000,1635000000,Music,Brazil,408700,6500000
97,37000000,24188861917,300000,251449000,People & Blogs,Brazil,62900,1000000
121,33800000,27274550757,200000,403508000,Film & Animation,Brazil,100900,1600000
139,32100000,13061739758,,44505000,Gaming,Brazil,11100,178000
177,29200000,11627437847,1000000,303100000,Comedy,Brazil,75800,1200000
205,26900000,7938616641,200000,82912000,Entertainment,Brazil,20700,331600
264,24000000,13943030228,1100000,761451000,Comedy,Brazil,190400,3000000
285,23400000,7926899136,,28285000,Film & Animation,Brazil,7100,113100
334,21600000,9597894786,300000,193174000,Autos & Vehicles,Brazil,48300,772700
354,21000000,7762905663,400000,118410000,Entertainment,Brazil,29600,473600
358,20900000,3828000587,100000,52330000,Entertainment,Brazil,13100,209300
363,20800000,1870608170,,23897000,Comedy,Brazil,6000,95600
376,20400000,1796227417,100000,39495000,Film & Animation,Brazil,9900,158000
394,20100000,8920141342,,5420000,Gaming,Brazil,1400,21700
406,19900000,13917423958,100000,214803000,Music,Brazil,53700,859200
437,19000000,13824277846,100000,76903000,Film & Animation,Brazil,19200,307600
456,18500000,2908120896,100000,6148000000,Music,Brazil,0,0
471,18200000,3213324455,,18045000,People & Blogs,Brazil,4500,72200
478,18000000,3980991248,100000,54766000,Howto & Style,Brazil,13700,219100
502,17700000,7739048000,,35337000,Entertainment,Brazil,8800,141300
526,17200000,7337212581,,72684000,Music,Brazil,18200,290700
543,16900000,3523578665,400000,149543000,Nonprofits & Activism,Brazil,37400,598200
548,16800000,3693798804,100000,44121000,Film & Animation,Brazil,11000,176500
584,16200000,2990185467,100000,33015000,Comedy,Brazil,8300,132100
595,16100000,2687443643,,13802000,People & Blogs,Brazil,3500,55200
611,15900000,9198986881,100000,136388000,Music,Brazil,34100,545600
627,15600000,3869457097,100000,56218000,Entertainment,Brazil,14100,224900
634,15500000,14619523361,,163678000,Music,Brazil,40900,654700
679,15000000,8897705695,,145478000,Entertainment,Brazil,36400,581900
692,15000000,11506702632,,182871000,Music,Brazil,45700,731500
702,14900000,5956193599,100000,39775000,Gaming,Brazil,9900,159100
710,14800000,9076642765,,88120000,Music,Brazil,22000,352500
725,14700000,4684983333,100000,40975000,Music,Brazil,10200,163900
729,14600000,4622581344,,10547000,People & Blogs,Brazil,2600,42200
732,14600000,11182302317,100000,109865000,Music,Brazil,27500,439500
736,14500000,2440718089,,,Music,Brazil,0,0
740,14500000,3551889957,,2838000,Howto & Style,Brazil,709,11400
772,14200000,4040297006,,19029000,Film & Animation,Brazil,4800,76100
793,14000000,4959982720,,10210000,Gaming,Brazil,2600,40800
802,14000000,5094050461,100000,68058000,Entertainment,Brazil,17000,272200
803,13900000,5673347763,100000,106718000,Gaming,Brazil,26700,426900
822,13700000,1967930734,200000,87804000,Comedy,Brazil,22000,351200
824,13700000,1950178163,,7438000,Entertainment,Brazil,1900,29800
829,13700000,8134379376,,64059000,Music,Brazil,16000,256200
881,13200000,5224764969,100000,64517000,Entertainment,Brazil,16100,258100
893,13100000,2555801802,100000,43990000,People & Blogs,Brazil,11000,176000
894,13100000,4214172991,100000,27340000,Film & Animation,Brazil,6800,109400
896,13100000,4608751851,,48223000,Music,Brazil,12100,192900
898,13100000,5333569294,,17588000,Entertainment,Brazil,4400,70400
902,13000000,1024467771,,3052000,Comedy,Brazil,763,12200
910,13000000,4349562794,,29526000,Music,Brazil,7400,118100
912,12900000,2112274210,100000,31796000,People & Blogs,Brazil,7900,127200
913,12900000,140022442,,147626,Entertainment,Brazil,37,591
941,12700000,1081285962,,3619000,Gaming,Brazil,905,14500
960,12500000,4625777945,,7158000,Entertainment,Brazil,1800,28600
966,12500000,16690788752,100000,213700000,Music,Brazil,53400,854800
976,12400000,2602614088,,,Comedy,Brazil,0,0
991,12300000,9029609749,700000,552513000,Sports,Brazil,138100,2200000
32,58400000,57271630846,600000,611828000,Music,Argentina,153000,2400000
106,35700000,27118354077,400000,302071000,Music,Argentina,75500,1200000
154,31200000,6187804950,1900000,190679000,Entertainment,Argentina,47700,762700
175,29300000,21226945136,,15,Music,Argentina,0,0.06
258,24100000,10999000479,600000,401512000,Comedy,Argentina,100400,1600000
297,23000000,6041264489,100000,35539000,Entertainment,Argentina,8900,142200
315,22400000,8040036209,,72242000,Music,Argentina,18100,289000
371,20600000,7657171980,200000,193176000,Comedy,Argentina,48300,772700
487,17900000,5168721499,100000,27545000,Entertainment,Argentina,6900,110200
505,17700000,17247584185,600000,640030000,Film & Animation,Argentina,160000,2600000
528,17200000,11445492404,100000,83709000,Education,Argentina,20900,334800
610,15900000,6534326412,200000,64085000,Gaming,Argentina,16000,256300
673,15100000,9477021288,700000,512343000,Comedy,Argentina,128100,2000000
45,48100000,14631710289,200000,66388000,Gaming,Chile,16600,265600
340,21500000,8409641722,4,49,Gaming,Chile,0.01,0.2
510,17600000,6306204566,500000,100215000,Gaming,Chile,25100,400900
53,46100000,10323391593,200000,33842000,Gaming,El Salvador,8500,135400
57,44600000,41139050371,1300000,1337000000,Entertainment,Pakistan,334300,5300000
66,43200000,37939780685,900000,1149000000,Entertainment,Pakistan,287300,4600000
186,28300000,23844936965,700000,684860000,Entertainment,Pakistan,171200,2700000
819,13800000,5727888539,100000,100053000,News & Politics,Pakistan,25000,400200
908,13000000,301547793,8,590,,Pakistan,0.15,2
970,12500000,4340213066,32,8721,Science & Technology,Pakistan,2,35
61,44200000,50292540392,300000,176629000,People & Blogs,Philippines,44200,706500
142,31900000,19428308461,500000,798510000,Entertainment,Philippines,199600,3200000
209,26500000,15065753455,300000,163130000,News & Politics,Philippines,40800,652500
350,21200000,11364908616,200000,142317000,Entertainment,Philippines,35600,569300
554,16600000,1318442641,100000,15079000,,Philippines,3800,60300
654,15200000,1491452935,,9980000,Entertainment,Philippines,2500,39900
665,15100000,1760131384,,12376000,People & Blogs,Philippines,3100,49500
674,15100000,10489367372,100000,181644000,News & Politics,Philippines,45400,726600
771,14200000,6048517979,,62658000,Music,Philippines,15700,250600
833,13600000,896891351,100000,12088000,,Philippines,3000,48400
858,13400000,9569814790,100000,115459000,News & Politics,Philippines,28900,461800
888,13100000,1401914513,,10848000,People & Blogs,Philippines,2700,43400
62,43700000,12884264778,,22,Music,Thailand,0.01,0.09
83,39000000,36131228583,200000,130461000,Entertainment,Thailand,32600,521800
94,37500000,27262462114,300000,140754000,Entertainment,Thailand,35200,563000
126,33500000,29611914495,100000,61307000,Entertainment,Thailand,0,0
291,23100000,25579831081,,130233000,Music,Thailand,32600,520900
454,18600000,20196704276,100000,168597000,Music,Thailand,42100,674400
463,18400000,11544297793,100000,54133000,Music,Thailand,13500,216500
506,17600000,9269174070,,55127000,Gaming,Thailand,13800,220500
517,17400000,13043561912,200000,235993000,Entertainment,Thailand,59000,944000
567,16400000,4434679706,,9341000,Comedy,Thailand,2300,37400
569,16400000,9463244435,100000,87757000,Entertainment,Thailand,21900,351000
572,16400000,12844432341,200000,181382000,Entertainment,Thailand,45300,725500
587,16200000,14563841315,100000,224756000,News & Politics,Thailand,56200,899000
644,15400000,14564170905,100000,82798000,Music,Thailand,20700,331200
699,14900000,5549770244,100000,49556000,Entertainment,Thailand,12400,198200
747,14500000,9383692066,100000,45622000,Entertainment,Thailand,11400,182500
792,14100000,4627069704,100000,12502000,Entertainment,Thailand,3100,50000
856,13400000,3363634923,,41672000,Comedy,Thailand,10400,166700
64,43500000,27568757295,500000,353412000,People & Blogs,Colombia,88400,1400000
117,34100000,23005313609,100000,128696000,Music,Colombia,32200,514800
137,32100000,18699145555,300000,465647000,Music,Colombia,116400,1900000
193,27700000,15777682516,200000,173836000,Music,Colombia,43500,695300
207,26700000,10317306313,,24363000,Comedy,Colombia,6100,97500
242,25000000,14827085149,300000,284144000,Music,Colombia,71000,1100000
385,20200000,2951914200,1600000,263864000,Entertainment,Colombia,66000,1100000
613,15900000,6802382479,100000,59890000,Music,Colombia,15000,239600
851,13400000,11789678655,100000,228902000,Music,Colombia,57200,915600
883,13200000,20743586601,,86270000,Music,Colombia,21600,345100
943,12700000,1714955279,1500000,327600000,People & Blogs,Colombia,81900,1300000
70,41900000,22477745835,100000,182926000,Entertainment,Barbados,45700,731700
72,41300000,5603111948,400000,136745000,People & Blogs,Mexico,34200,547000
74,40600000,8670473639,,,Comedy,Mexico,0,0
143,31800000,6762424690,,31455000,Howto & Style,Mexico,7900,125800
225,25700000,7466926260,,30501000,People & Blogs,Mexico,7600,122000
244,24800000,2588501115,,336291,Howto & Style,Mexico,84,1300
255,24200000,2700914170,100000,33590000,Entertainment,Mexico,8400,134400
278,23600000,2135644776,200000,46862000,Entertainment,Mexico,11700,187400
302,22900000,13206471140,200000,136821000,Education,Mexico,34200,547300
325,21900000,20657571751,,4719,Entertainment,Mexico,1,19
338,21500000,15013096899,,15459,News & Politics,Mexico,4,62
422,19400000,1577859332,100000,2382000,People & Blogs,Mexico,595,9500
435,19000000,7229175322,200000,123338000,Howto & Style,Mexico,30800,493400
442,18900000,9813245108,,140398000,Education,Mexico,35100,561600
507,17600000,2274007523,100000,27445000,Comedy,Mexico,6900,109800
553,16700000,5089284369,,16139000,People & Blogs,Mexico,4000,64600
555,16600000,2798273962,,,Entertainment,Mexico,0,0
601,16100000,9642146451,,,Entertainment,Mexico,0,0
604,16000000,3029872908,,4698000,Gaming,Mexico,1200,18800
606,16000000,5997599089,200000,112393000,Film & Animation,Mexico,28100,449600
624,15600000,1511794214,,62551000,Entertainment,Mexico,0,0
629,15500000,8984089026,100000,90012000,People & Blogs,Mexico,22500,360000
682,15000000,4008801873,100000,33880000,Entertainment,Mexico,8500,135500
734,14600000,2750902766,100000,50677000,Howto & Style,Mexico,12700,202700
776,14200000,3920559552,200000,44575000,Gaming,Mexico,11100,178300
795,14000000,4674164601,100000,26783000,People & Blogs,Mexico,6700,107100
798,14000000,9660950823,,70626000,Music,Mexico,17700,282500
818,13800000,5019136690,100000,26519000,People & Blogs,Mexico,6600,106100
909,13000000,6270909026,600000,368437000,Entertainment,Mexico,92100,1500000
933,12700000,4266957149,100000,77482000,Comedy,Mexico,19400,309900
954,12500000,1402042328,,8869000,Gaming,Mexico,2200,35500
957,12500000,3140883140,,31007000,Travel & Events,Mexico,7800,124000
962,12500000,7489455451,100000,115881000,Music,Mexico,29000,463500
975,12400000,2862685032,,10278000,People & Blogs,Mexico,2600,41100
77,39700000,23884824160,300000,247731000,People & Blogs,United Arab Emirates,61900,990900
256,24200000,15724160183,200000,151208000,,United Arab Emirates,37800,604800
333,21700000,8507818877,3400000,1598000000,,United Arab Emirates,399600,6400000
386,20200000,2764127969,100000,15556000,Comedy,United Arab Emirates,3900,62200
640,15400000,11513738907,200000,80172000,Gaming,United Arab Emirates,20000,320700
787,14100000,5405563355,500000,353259000,Autos & Vehicles,United Arab Emirates,88300,1400000
918,12900000,7520379951,100000,80219000,People & Blogs,United Arab Emirates,20100,320900
82,39100000,16118181673,800000,264108000,Gaming,Spain,66000,1100000
120,33800000,15432929204,,39094000,Gaming,Spain,9800,156400
178,29200000,4079141673,,12143000,Comedy,Spain,3000,48600
450,18700000,12295637162,1,102,Entertainment,Spain,0.03,0.41
462,18400000,7038827526,,11004000,Comedy,Spain,2800,44000
483,18000000,6404852037,,43830000,Gaming,Spain,11000,175300
529,17200000,5024088947,,15405000,Gaming,Spain,3900,61600
556,16600000,3696973456,,65470,Howto & Style,Spain,16,262
590,16200000,4488680903,,4,Entertainment,Spain,0,0.02
647,15300000,2656528205,200000,84867000,Sports,Spain,21200,339500
668,15100000,4236036141,,5972000,Gaming,Spain,1500,23900
698,14900000,4977284539,100000,13857000,Entertainment,Spain,3500,55400
717,14700000,1506796393,600,226420,Entertainment,Spain,57,906
727,14600000,3337074920,,60568000,People & Blogs,Spain,15100,242300
797,14000000,8623705301,100000,201659000,Music,Spain,50400,806600
832,13600000,2122062016,200000,47436000,Gaming,Spain,11900,189700
914,12900000,2509752944,100000,11993000,Sports,Spain,3000,48000
925,12800000,6662288136,100000,53988000,Music,Spain,13500,216000
934,12700000,4579773883,,10083000,Music,Spain,2500,40300
955,12500000,6956320454,,16319000,Education,Spain,4100,65300
978,12400000,2840137980,100000,24022000,Gaming,Spain,6000,96100
980,12400000,6933660906,100000,82648000,Gaming,Spain,20700,330600
86,38400000,21528116909,2000,1589000,People & Blogs,Saudi Arabia,397,6400
218,26100000,7886440199,,,Entertainment,Saudi Arabia,0,0
309,22600000,17507060680,100000,73829000,People & Blogs,Saudi Arabia,18500,295300
455,18600000,8761255550,500000,43007000,Gaming,Saudi Arabia,10800,172000
631,15500000,6386271870,200000,90914000,Music,Saudi Arabia,22700,363700
633,15500000,8265129639,300000,135036000,Shows,Saudi Arabia,33800,540100
715,14700000,2230986039,,2694000,Entertainment,Saudi Arabia,673,10800
757,14400000,2972474215,,4673000,Entertainment,Saudi Arabia,1200,18700
873,13300000,4129249415,200000,70712000,Gaming,Saudi Arabia,17700,282800
118,34000000,3963007415,5500000,547141000,Entertainment,Indonesia,136800,2200000
130,33300000,5994136760,1900000,157101000,People & Blogs,Indonesia,39300,628400
160,30400000,4332274962,,21440000,Entertainment,Indonesia,5400,85800
222,25900000,11372071889,600000,230183000,Music,Indonesia,57500,920700
231,25400000,6430853035,100000,58487000,People & Blogs,Indonesia,14600,233900
241,25000000,14169516119,100000,123189000,Entertainment,Indonesia,30800,492800
352,21100000,4526271677,100000,26974000,People & Blogs,Indonesia,6700,107900
370,20600000,4956090094,1,85,Entertainment,Indonesia,0.02,0.34
384,20300000,11819051552,100000,112768000,Education,Indonesia,28200,451100
391,20200000,6098644584,200000,64489000,Gaming,Indonesia,16100,258000
460,18500000,4051072188,1600000,197369000,People & Blogs,Indonesia,49300,789500
466,18300000,1606834186,,17063000,People & Blogs,Indonesia,4300,68300
473,18100000,3306242674,,27312000,Entertainment,Indonesia,6800,109200
500,17700000,3647267655,100000,48174000,People & Blogs,Indonesia,12000,192700
531,17100000,9710962528,100000,45811000,Entertainment,Indonesia,11500,183200
547,16800000,7195314800,100000,42836000,Entertainment,Indonesia,10700,171300
592,16100000,1517638132,,9619000,Entertainment,Indonesia,2400,38500
616,15800000,4122634467,100000,71870000,People & Blogs,Indonesia,18000,287500
646,15400000,4750420071,,19740000,People & Blogs,Indonesia,4900,79000
663,15100000,2143140898,100000,17231000,Education,Indonesia,4300,68900
690,15000000,11827310821,100000,113064000,News & Politics,Indonesia,28300,452300
695,14900000,8074260978,100000,43581000,Entertainment,Indonesia,10900,174300
788,14100000,6036496916,400000,176062000,Entertainment,Indonesia,44000,704200
839,13500000,1181292450,,13436000,Gaming,Indonesia,3400,53700
880,13200000,4205664894,800000,264308000,,Indonesia,66100,1100000
903,13000000,10664585,300000,2292000000,Entertainment,Indonesia,0,0
922,12900000,2848466522,,837700,Education,Indonesia,209,3400
977,12400000,1113066203,,806075,Entertainment,Indonesia,202,3200
133,32700000,19180039918,2100000,1463000000,,Turkey,365900,5900000
260,24100000,56106087508,200000,424815000,Music,Turkey,106200,1700000
417,19600000,8779729549,100000,110806000,Entertainment,Turkey,27700,443200
658,15200000,8333387785,,4427000,Entertainment,Turkey,1100,17700
152,31200000,9673649438,100,3589,People & Blogs,Venezuela,0.9,14
159,30500000,4521573939,1300000,157908000,Gaming,Kuwait,39500,631600
166,30200000,27684955537,100000,116434000,Entertainment,Jordan,29100,465700
301,22900000,16298342829,300000,169056000,Music,Jordan,42300,676200
804,13900000,9106781518,100000,87639000,Entertainment,Jordan,21900,350600
168,30100000,19607009165,100000,100040000,Music,Netherlands,25000,400200
774,14200000,1778318927,,35934000,Howto & Style,Netherlands,9000,143700
817,13800000,2480957682,200000,55122000,Gaming,Netherlands,13800,220500
191,27800000,2303069221,1,,People & Blogs,Singapore,0,0
588,16200000,20522339099,200000,117209000,Entertainment,Singapore,29300,468800
620,15700000,6153495609,800,939647,,Singapore,235,3800
192,27800000,21037851468,,127441000,Music,Australia,31900,509800
248,24700000,2994726412,,23263000,Howto & Style,Australia,5800,93100
374,20500000,8768697257,,26082000,Gaming,Australia,6500,104300
479,18000000,9601137077,600000,391298000,Sports,Australia,97800,1600000
509,17600000,3752347262,,,Gaming,Australia,0,0
523,17300000,3684816159,,15525000,Howto & Style,Australia,3900,62100
527,17200000,8903647480,,25,Education,Australia,0.01,0.1
707,14800000,5269059435,,21072000,Gaming,Australia,5300,84300
786,14100000,5129529846,1,147,Music,Australia,0.04,0.59
213,26400000,17211600007,2000000,1225000000,Entertainment,Italy,306400,4900000
901,13000000,2683297849,100000,29870000,Entertainment,Italy,7500,119500
295,23000000,31494513067,800000,756717000,Entertainment,Germany,189200,3000000
341,21400000,1573058816,5,,Comedy,Germany,0,0
364,20800000,2378448129,100000,29269000,Education,Germany,7300,117100
407,19800000,3234880084,,5650000,Science & Technology,Germany,1400,22600
560,16600000,15278668857,900000,617257000,Entertainment,Germany,154300,2500000
712,14800000,272678287,3580,37883,People & Blogs,Germany,9,152
316,22300000,8663830163,10,735,People & Blogs,France,0.18,3
474,18100000,9983065083,100000,48099000,Gaming,France,12000,192400
598,16100000,7126210721,4,780,Music,France,0.2,3
758,14400000,3086254545,,11417000,Comedy,France,2900,45700
904,13000000,1698279553,100000,30471000,Music,France,7600,121900
372,20600000,10292874715,,81236000,Music,Sweden,20300,324900
599,16100000,7155736006,3000000,478528000,,Sweden,119600,1900000
794,14000000,2214167846,,13709000,Howto & Style,Sweden,3400,54800
994,12300000,374123483,100000,3871000,Gaming,Sweden,968,15500
380,20400000,4707412332,,28990000,Entertainment,Ukraine,7200,116000
448,18800000,9594188708,100000,68006000,Entertainment,Ukraine,17000,272000
503,17700000,8396875537,230000,370779000,News & Politics,Ukraine,92700,1500000
708,14800000,7018015062,,47117000,Howto & Style,Ukraine,11800,188500
773,14200000,6973932553,10,105,Entertainment,Ukraine,0.03,0.42
844,13500000,8265920659,100000,75162000,Entertainment,Ukraine,18800,300600
869,13300000,7923901253,,379346000,Entertainment,Ukraine,0,0
921,12900000,5585085130,200000,71118000,Shows,Ukraine,17800,284500
389,20200000,20919403720,1200000,1245000000,Comedy,Latvia,311200,5000000
424,19400000,5529131886,100000,58863000,Sports,Switzerland,14700,235500
490,17900000,9867515979,100000,84467000,Entertainment,Vietnam,21100,337900
586,16200000,9763592867,200000,256733000,Music,Vietnam,64200,1000000
828,13700000,5457203710,,35124000,Comedy,Vietnam,8800,140500
504,17700000,9059696049,200000,117727000,Film & Animation,Malaysia,29400,470900
508,17600000,2977741577,100000,22354000,Howto & Style,China,5600,89400
518,17400000,11144195464,,113003000,Music,Iraq,28300,452000
924,12800000,5863456698,,35336000,Comedy,Iraq,8800,141300
638,15500000,4499826716,100000,32916000,Howto & Style,Egypt,8200,131700
670,15100000,5324913850,100000,46060000,People & Blogs,Egypt,11500,184200
664,15100000,2400037562,,86,Howto & Style,Andorra,0.02,0.34
726,14600000,2613197447,100000,16409000,Entertainment,Ecuador,4100,65600
897,13100000,2879263916,300000,62909000,People & Blogs,Ecuador,15700,251600
750,14500000,4315486422,,37577000,Music,Morocco,9400,150300
755,14400000,1629801448,,1002000,Entertainment,Peru,251,4000
809,13900000,12129583055,,1,News & Politics,Bangladesh,0,0
877,13200000,2036408398,,20369000,Gaming,Finland,5100,81500
900,13100000,6637820731,3,379,Music,Samoa,0.09,2
